Vin,Power supply,,,,,,,,,,,
0.5,,,,,3.675E-07,0.000005655,0.0000788,0.0008024,0.005141,0.02093,0.06313,0.2769
0.51,,,,,,0.000004092,0.00005801,0.0006139,0.004114,0.0173,0.0516,0.1765
0.52,,,,,,0.00000297,0.00004276,0.0004697,0.003294,0.01437,0.04308,0.1189
0.53,,,,,,0.000002161,0.00003156,0.0003592,0.002638,0.01197,0.03644,0.09222
0.54,,,,,,0.000001577,0.00002333,0.0002744,0.002111,0.009973,0.03108,0.07618
0.55,,,,,,0.000001154,0.00001725,0.0002095,0.001688,0.008325,0.02663,0.06468
0.56,,,,,,8.475E-07,0.00001278,0.0001597,0.001345,0.006947,0.02293,0.05579
0.57,,,,,,6.241E-07,0.000009469,0.0001216,0.001072,0.005793,0.01978,0.04859
0.58,,,,,,0.000000461,0.000007024,0.00009248,0.0008521,0.004823,0.01709,0.04264
0.59,,,,,,3.418E-07,0.000005215,0.00007024,0.0006757,0.004009,0.01476,0.03759
0.6,,,,,,2.544E-07,0.000003875,0.00005328,0.0005344,0.003325,0.01275,0.03323
0.61,,,,,,,0.000002882,0.00004037,0.0004215,0.002751,0.011,0.02944
0.62,,,,,,,0.000002145,0.00003055,0.0003314,0.002271,0.009478,0.02612
0.63,,,,,,,0.000001598,0.00002307,0.0002598,0.001868,0.008152,0.02318
0.64,,,,,,,0.000001192,0.00001743,0.0002031,0.001532,0.006996,0.02057
0.65,,,,,,,8.904E-07,0.00001316,0.0001582,0.001253,0.00599,0.01824
0.66,,,,,,,6.591E-07,0.000009933,0.000123,0.00102,0.005115,0.01617
0.67,,,,,,,4.956E-07,0.00000749,0.00009528,0.0008283,0.004354,0.0143
0.68,,,,,,,3.731E-07,0.000005645,0.00007363,0.0006698,0.003696,0.01264
0.69,,,,,,,2.812E-07,0.000004254,0.00005677,0.0005395,0.003126,0.01114
0.7,,,,,,,2.125E-07,0.000003204,0.00004366,0.0004329,0.002636,0.009801
0.71,,,,,,,,0.000002413,0.00003351,0.000346,0.002214,0.0086
0.72,,,,,,,,0.000001818,0.00002566,0.0002755,0.001852,0.007525
0.73,,,,,,,,0.00000137,0.00001962,0.0002185,0.001544,0.006565
0.74,,,,,,,,0.000001032,0.00001498,0.0001726,0.001282,0.00571
0.75,,,,,,,,7.786E-07,0.00001142,0.0001359,0.00106,0.00495
0.76,,,,,,,,5.877E-07,0.000008692,0.0001066,0.0008724,0.004276
0.77,,,,,,,,4.442E-07,0.00000661,0.00008333,0.0007151,0.00368
